vehicle_number,total_violations,first_violation,last_violation,unique_zones,top_zone,vehicle_type,top_violation_type,span_days,violations_per_month,rank
FKN00GL65576,7,2024-02-27,2024-02-27,1,Malleshwaram,CAR,WRONG PARKING,1,210.0,1674
FKN00GL65860,7,2023-11-27,2024-03-14,2,Banaswadi,SCOOTER,PARKING IN A MAIN ROAD,109,1.93,1675
FKN00GL10920,7,2023-12-10,2024-02-12,1,Shivajinagar,SCOOTER,WRONG PARKING,65,3.23,1676
FKN00GL10983,7,2023-11-16,2024-01-27,1,Upparpet,MOTOR CYCLE,NO PARKING,73,2.88,1677
FKN00GL11019,7,2023-11-17,2024-01-26,2,Jayanagara,BUS (BMTC/KSRTC),WRONG PARKING,71,2.96,1678
FKN00GL66244,7,2023-11-29,2024-04-07,1,Rajajinagar,CAR,WRONG PARKING,131,1.6,1679
FKN00GL29097,7,2024-01-08,2024-04-07,1,K.R. Pura,PASSENGER AUTO,WRONG PARKING,91,2.31,1680
FKN00GL29292,7,2023-12-02,2024-02-10,2,Kodigehalli,SCOOTER,WRONG PARKING,71,2.96,1681
FKN00GL29374,7,2024-02-09,2024-03-23,2,Kamakshipalya,CAR,WRONG PARKING,44,4.77,1682
FKN00GL2947,7,2024-01-28,2024-03-18,2,Hulimavu,PRIVATE BUS,WRONG PARKING,51,4.12,1683
FKN00GL66345,7,2023-11-15,2024-02-28,1,Shivajinagar,SCOOTER,WRONG PARKING,106,1.98,1684
FKN00GL66447,7,2023-12-21,2024-03-23,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,94,2.23,1685
FKN00GL96728,7,2023-11-15,2024-02-07,1,Vijayanagara,SCOOTER,WRONG PARKING,85,2.47,1686
FKN00GL96794,7,2023-11-25,2024-02-06,1,HSR Layout,SCOOTER,NO PARKING,74,2.84,1687
FKN00GL0196,7,2023-11-17,2024-03-18,2,City Market,SCOOTER,WRONG PARKING,123,1.71,1688
FKN00GL0308,7,2023-11-28,2024-04-07,1,Upparpet,SCOOTER,NO PARKING,132,1.59,1689
FKN00GL0347,7,2023-11-11,2024-03-27,1,K.R. Pura,PASSENGER AUTO,PARKING IN A MAIN ROAD,138,1.52,1690
FKN00GL0361,7,2024-01-05,2024-03-15,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,71,2.96,1691
FKN00GL97091,7,2023-11-20,2024-02-09,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,82,2.56,1692
FKN00GL46790,7,2023-11-27,2024-04-03,1,Upparpet,SCOOTER,NO PARKING,129,1.63,1693
FKN00GL47057,7,2023-12-03,2023-12-03,1,Cubbon Park,MOTOR CYCLE,NO PARKING,1,210.0,1694
FKN00GL19603,7,2024-01-06,2024-04-07,2,Upparpet,PASSENGER AUTO,WRONG PARKING,93,2.26,1695
FKN00GL9556,7,2023-12-01,2024-03-12,1,Banaswadi,CAR,NO PARKING,103,2.04,1696
FKN00GL96031,7,2023-12-20,2024-02-02,1,High ground,SCOOTER,WRONG PARKING,45,4.67,1697
FKN00GL96635,7,2023-12-14,2024-02-02,1,Ashok Nagar,SCOOTER,NO PARKING,51,4.12,1698
FKN00GL9808,7,2023-12-30,2024-03-03,2,R.T. Nagar,PASSENGER AUTO,NO PARKING,65,3.23,1699
FKN00GL0050,6,2024-03-10,2024-03-10,1,Electronic City,MOTOR CYCLE,WRONG PARKING,1,180.0,1700
FKN00GL9663,6,2023-12-09,2024-03-15,1,Halasuru Gate,GOODS AUTO,WRONG PARKING,98,1.84,1701
FKN00GL9630,6,2024-02-29,2024-03-16,1,Whitefield,TEMPO,PARKING IN A MAIN ROAD,17,10.59,1702
FKN00GL95885,6,2023-12-11,2024-01-18,1,Rajajinagar,CAR,NO PARKING,39,4.62,1703
FKN00GL9586,6,2024-01-10,2024-04-05,3,Upparpet,CAR,NO PARKING,87,2.07,1704
FKN00GL20313,6,2024-02-29,2024-04-03,1,Ashok Nagar,SCOOTER,NO PARKING,35,5.14,1705
FKN00GL20294,6,2024-02-05,2024-03-16,2,Yelahanka,SCOOTER,WRONG PARKING,41,4.39,1706
FKN00GL20181,6,2024-01-21,2024-02-11,2,Malleshwaram,MOTOR CYCLE,NO PARKING,22,8.18,1707
FKN00GL2010,6,2024-03-07,2024-03-13,1,Upparpet,SCOOTER,WRONG PARKING,7,25.71,1708
FKN00GL20060,6,2023-12-22,2024-03-29,1,Adugodi,CAR,NO PARKING,99,1.82,1709
FKN00GL19999,6,2024-01-31,2024-03-12,1,Adugodi,CAR,NO PARKING,42,4.29,1710
FKN00GL19509,6,2024-01-11,2024-02-21,2,Upparpet,PASSENGER AUTO,NO PARKING,42,4.29,1711
FKN00GL47103,6,2023-12-25,2024-03-10,2,K.R. Pura,PASSENGER AUTO,WRONG PARKING,77,2.34,1712
FKN00GL46586,6,2024-01-11,2024-03-12,1,Vijayanagara,SCOOTER,NO PARKING,62,2.9,1713
FKN00GL47247,6,2024-02-13,2024-03-01,1,HAL Old Airport,SCOOTER,NO PARKING,18,10.0,1714
FKN00GL9473,6,2024-01-23,2024-03-20,1,City Market,PASSENGER AUTO,WRONG PARKING,58,3.1,1715
FKN00GL20382,6,2023-11-11,2024-02-05,2,City Market,GOODS AUTO,WRONG PARKING,87,2.07,1716
FKN00GL20517,6,2024-01-21,2024-04-03,1,Magadi Road,LORRY/GOODS VEHICLE,WRONG PARKING,74,2.43,1717
FKN00GL20547,6,2023-11-27,2024-04-06,1,J.P. Nagar,CAR,NO PARKING,132,1.36,1718
FKN00GL20654,6,2023-11-15,2024-03-29,2,Upparpet,CAR,WRONG PARKING,136,1.32,1719
FKN00GL0391,6,2023-12-08,2024-03-22,2,Rajajinagar,SCOOTER,WRONG PARKING,106,1.7,1720
FKN00GL0405,6,2023-11-12,2024-02-05,2,Upparpet,TEMPO,WRONG PARKING,86,2.09,1721
FKN00GL0407,6,2023-11-30,2024-01-08,1,Vijayanagara,SCOOTER,WRONG PARKING,40,4.5,1722
FKN00GL47324,6,2024-02-19,2024-02-19,1,Upparpet,SCOOTER,WRONG PARKING,1,180.0,1723
FKN00GL47376,6,2024-02-07,2024-04-08,1,Upparpet,SCOOTER,WRONG PARKING,62,2.9,1724
FKN00GL45735,6,2024-04-03,2024-04-07,1,Vijayanagara,CAR,WRONG PARKING,5,36.0,1725
FKN00GL4592,6,2024-01-07,2024-03-28,1,City Market,PASSENGER AUTO,WRONG PARKING,82,2.2,1726
FKN00GL46082,6,2023-11-24,2024-04-04,1,Halasur,SCOOTER,WRONG PARKING,133,1.35,1727
FKN00GL47566,6,2024-01-24,2024-02-25,1,City Market,SCOOTER,WRONG PARKING,33,5.45,1728
FKN00GL110390,6,2023-11-21,2024-01-02,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,43,4.19,1729
FKN00GL110531,6,2023-11-28,2024-01-18,1,Shivajinagar,SCOOTER,WRONG PARKING,52,3.46,1730
FKN00GL110582,6,2023-11-12,2024-01-02,1,Upparpet,LGV,NO PARKING,52,3.46,1731
FKN00GL6653,6,2023-11-10,2024-02-18,1,Rajajinagar,CAR,WRONG PARKING,101,1.78,1732
FKN00GL66576,6,2023-12-30,2024-03-12,1,Ashok Nagar,SCOOTER,NO PARKING,74,2.43,1733
FKN00GL2853,6,2024-01-30,2024-03-12,1,Vijayanagara,MOTOR CYCLE,WRONG PARKING,43,4.19,1734
FKN00GL2871,6,2023-12-26,2024-04-06,1,Upparpet,CAR,WRONG PARKING,103,1.75,1735
FKN00GL2893,6,2023-11-21,2024-02-17,2,Upparpet,SCOOTER,WRONG PARKING,89,2.02,1736
FKN00GL28954,6,2023-12-23,2024-02-10,1,Halasur,CAR,NO PARKING,50,3.6,1737
FKN00GL2902,6,2023-12-13,2024-03-27,3,Rajajinagar,CAR,PARKING IN A MAIN ROAD,106,1.7,1738
FKN00GL108701,6,2023-11-21,2024-03-06,1,Upparpet,SCOOTER,WRONG PARKING,107,1.68,1739
FKN00GL66934,6,2023-12-17,2024-03-06,1,Upparpet,CAR,NO PARKING,81,2.22,1740
FKN00GL66941,6,2023-11-22,2024-03-27,2,Shivajinagar,PASSENGER AUTO,WRONG PARKING,127,1.42,1741
FKN00GL111130,6,2023-11-18,2024-01-07,1,Halasur,SCOOTER,NO PARKING,51,3.53,1742
FKN00GL6479,6,2023-12-18,2024-02-04,1,Shivajinagar,MOTOR CYCLE,NO PARKING,49,3.67,1743
FKN00GL64862,6,2023-11-26,2024-04-07,1,Halasur,CAR,NO PARKING,134,1.34,1744
FKN00GL111268,6,2023-11-18,2023-12-07,2,Upparpet,MAXI-CAB,WRONG PARKING,20,9.0,1745
FKN00GL111459,6,2023-12-02,2023-12-09,1,High ground,MOTOR CYCLE,WRONG PARKING,8,22.5,1746
FKN00GL67501,6,2023-12-05,2024-03-20,1,Magadi Road,SCOOTER,NO PARKING,107,1.68,1747
FKN00GL28478,6,2024-01-05,2024-02-08,1,Rajajinagar,CAR,WRONG PARKING,35,5.14,1748
FKN00GL16613,6,2023-12-30,2024-04-05,1,Rajajinagar,MOTOR CYCLE,WRONG PARKING,98,1.84,1749
FKN00GL68065,6,2023-12-01,2024-03-20,1,Shivajinagar,SCOOTER,WRONG PARKING,111,1.62,1750
FKN00GL68107,6,2023-11-14,2024-02-28,1,Shivajinagar,SCOOTER,NO PARKING,107,1.68,1751
FKN00GL68108,6,2024-02-28,2024-03-27,1,Shivajinagar,SCOOTER,WRONG PARKING,29,6.21,1752
FKN00GL68329,6,2023-11-15,2024-02-29,1,High ground,SCOOTER,NO PARKING,107,1.68,1753
FKN00GL111633,6,2023-11-14,2023-12-16,1,Malleshwaram,CAR,WRONG PARKING,33,5.45,1754
FKN00GL111662,6,2023-11-18,2024-01-04,1,Shivajinagar,SCOOTER,WRONG PARKING,48,3.75,1755
FKN00GL64107,6,2024-03-08,2024-03-20,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,13,13.85,1756
FKN00GL16023,6,2023-11-27,2024-04-04,1,Upparpet,CAR,NO PARKING,130,1.38,1757
FKN00GL160313,6,2023-11-24,2023-12-29,1,High ground,SCOOTER,WRONG PARKING,36,5.0,1758
FKN00GL161505,6,2023-11-25,2024-01-09,1,Malleshwaram,SCOOTER,WRONG PARKING,46,3.91,1759
FKN00GL6462,6,2023-11-14,2024-02-15,1,Upparpet,CAR,NO PARKING,94,1.91,1760
FKN00GL63085,6,2024-02-26,2024-02-26,1,Jayanagara,SCOOTER,NO PARKING,1,180.0,1761
FKN00GL6337,6,2024-03-28,2024-04-05,1,Kodigehalli,SCOOTER,WRONG PARKING,9,20.0,1762
FKN00GL28013,6,2023-11-23,2024-02-26,4,Basavanagudi,LGV,NO PARKING,96,1.88,1763
FKN00GL2841,6,2023-11-15,2024-03-28,1,HAL Old Airport,SCOOTER,NO PARKING,135,1.33,1764
FKN00GL68628,6,2023-12-13,2024-03-01,1,Shivajinagar,SCOOTER,WRONG PARKING,80,2.25,1765
FKN00GL68740,6,2023-12-24,2024-03-02,1,Byatarayanapura,GOODS AUTO,NO PARKING,70,2.57,1766
FKN00GL106396,6,2023-11-10,2024-01-18,1,Upparpet,SCOOTER,NO PARKING,70,2.57,1767
FKN00GL64008,6,2023-12-13,2024-04-06,1,HAL Old Airport,SCOOTER,NO PARKING,116,1.55,1768
FKN00GL111139,6,2023-11-11,2024-01-04,1,Shivajinagar,SCOOTER,WRONG PARKING,55,3.27,1769
FKN00GL30740,6,2023-11-18,2024-02-16,1,Sheshadripuram,SCOOTER,NO PARKING,91,1.98,1770
FKN00GL30750,6,2024-02-10,2024-02-10,1,Malleshwaram,CAR,NO PARKING,1,180.0,1771
FKN00GL30827,6,2023-12-29,2024-02-11,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,45,4.0,1772
FKN00GL30832,6,2023-12-21,2024-03-10,1,Shivajinagar,SCOOTER,WRONG PARKING,81,2.22,1773
FKN00GL30844,6,2023-11-26,2024-02-11,1,Shivajinagar,MOTOR CYCLE,NO PARKING,78,2.31,1774
FKN00GL31069,6,2023-11-29,2024-03-18,1,Malleshwaram,PASSENGER AUTO,WRONG PARKING,111,1.62,1775
FKN00GL111255,6,2023-11-11,2023-12-28,1,HSR Layout,CAR,NO PARKING,48,3.75,1776
FKN00GL16768,6,2023-12-23,2024-01-13,2,Hebbala,SCOOTER,NO PARKING,22,8.18,1777
FKN00GL169580,6,2023-12-26,2023-12-31,2,Rajajinagar,MOTOR CYCLE,NO PARKING,6,30.0,1778
FKN00GL169585,6,2023-12-27,2024-01-21,1,Jayanagara,SCOOTER,NO PARKING,26,6.92,1779
FKN00GL2782,6,2023-12-15,2024-03-27,1,HAL Old Airport,SCOOTER,WRONG PARKING,104,1.73,1780
FKN00GL107059,6,2023-12-25,2024-03-22,1,Jayanagara,SCOOTER,NO PARKING,89,2.02,1781
FKN00GL69266,6,2024-02-24,2024-02-24,1,Electronic City,PASSENGER AUTO,WRONG PARKING,1,180.0,1782
FKN00GL69267,6,2024-02-24,2024-02-24,1,Electronic City,CAR,WRONG PARKING,1,180.0,1783
FKN00GL69382,6,2023-12-21,2024-03-06,1,Upparpet,CAR,NO PARKING,77,2.34,1784
FKN00GL6939,6,2023-12-06,2024-02-08,1,High ground,SCOOTER,WRONG PARKING,65,2.77,1785
FKN00GL112157,6,2023-11-12,2023-11-29,1,Upparpet,SCOOTER,NO PARKING,18,10.0,1786
FKN00GL62948,6,2024-02-26,2024-02-26,1,HAL Old Airport,CAR,NO PARKING,1,180.0,1787
FKN00GL15663,6,2024-01-03,2024-03-25,2,Mahadevapura,PASSENGER AUTO,NO PARKING,83,2.17,1788
FKN00GL31242,6,2023-11-10,2024-04-03,1,Rajajinagar,SCOOTER,WRONG PARKING,146,1.23,1789
FKN00GL31248,6,2024-02-10,2024-04-05,1,Vijayanagara,GOODS AUTO,WRONG PARKING,56,3.21,1790
FKN00GL31338,6,2024-01-19,2024-03-17,2,Vijayanagara,CAR,WRONG PARKING,59,3.05,1791
FKN00GL63084,6,2024-02-26,2024-02-26,1,Jayanagara,SCOOTER,NO PARKING,1,180.0,1792
FKN00GL27490,6,2023-11-30,2024-02-03,3,City Market,PASSENGER AUTO,WRONG PARKING,66,2.73,1793
FKN00GL27682,6,2023-12-07,2024-02-23,1,Upparpet,SCOOTER,WRONG PARKING,79,2.28,1794
FKN00GL16632,6,2023-11-21,2024-03-27,1,Shivajinagar,MOTOR CYCLE,NO PARKING,128,1.41,1795
FKN00GL16635,6,2023-11-30,2024-01-19,1,Shivajinagar,SCOOTER,WRONG PARKING,51,3.53,1796
FKN00GL6941,6,2023-11-24,2024-02-08,1,High ground,SCOOTER,WRONG PARKING,77,2.34,1797
FKN00GL69722,6,2023-12-14,2024-04-07,1,Vijayanagara,CAR,WRONG PARKING,116,1.55,1798
FKN00GL105659,6,2023-12-11,2024-01-15,1,Mico Layout,SCOOTER,NO PARKING,36,5.0,1799
FKN00GL105676,6,2023-11-18,2024-01-06,1,Magadi Road,CAR,NO PARKING,50,3.6,1800
FKN00GL112991,6,2023-11-20,2024-03-31,2,Banaswadi,PASSENGER AUTO,NO PARKING,133,1.35,1801
FKN00GL31433,6,2024-01-02,2024-02-29,1,Magadi Road,CAR,NO PARKING,59,3.05,1802
FKN00GL31461,6,2024-02-10,2024-02-10,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,1,180.0,1803
FKN00GL31499,6,2023-11-18,2024-02-24,1,Rajajinagar,MAXI-CAB,WRONG PARKING,99,1.82,1804
FKN00GL31840,6,2023-11-14,2024-03-31,3,Chamarajpet,PASSENGER AUTO,NO PARKING,139,1.29,1805
FKN00GL31844,6,2023-12-24,2024-04-01,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,100,1.8,1806
FKN00GL111956,6,2023-11-16,2023-12-30,1,Mico Layout,MOTOR CYCLE,NO PARKING,45,4.0,1807
FKN00GL10646,6,2023-11-27,2024-01-28,1,Upparpet,SCOOTER,WRONG PARKING,63,2.86,1808
FKN00GL6114,6,2023-12-14,2024-03-10,1,City Market,GOODS AUTO,WRONG PARKING,88,2.05,1809
FKN00GL7058,6,2023-12-29,2024-02-02,2,Basavanagudi,PASSENGER AUTO,WRONG PARKING,36,5.0,1810
FKN00GL70770,6,2023-11-17,2024-03-22,1,Upparpet,LGV,WRONG PARKING,127,1.42,1811
FKN00GL70797,6,2024-01-28,2024-03-01,1,Kodigehalli,SCOOTER,WRONG PARKING,34,5.29,1812
FKN00GL7089,6,2023-11-13,2024-03-29,1,Pulikeshinagar(F.Town),CAR,WRONG PARKING,138,1.3,1813
FKN00GL70982,6,2023-12-03,2024-04-07,2,Malleshwaram,SCOOTER,WRONG PARKING,127,1.42,1814
FKN00GL17060,6,2023-12-25,2024-01-17,1,Jayanagara,SCOOTER,NO PARKING,24,7.5,1815
FKN00GL27288,6,2023-11-11,2024-03-31,1,Shivajinagar,SCOOTER,WRONG PARKING,142,1.27,1816
FKN00GL7138,6,2023-11-10,2024-03-21,1,Upparpet,CAR,WRONG PARKING,133,1.35,1817
FKN00GL71520,6,2023-11-15,2024-03-01,1,HAL Old Airport,SCOOTER,NO PARKING,108,1.67,1818
FKN00GL6161,6,2023-12-05,2024-02-11,1,Shivajinagar,PASSENGER AUTO,NO PARKING,69,2.61,1819
FKN00GL1126,6,2023-11-17,2024-03-15,1,Shivajinagar,SCOOTER,NO PARKING,120,1.5,1820
FKN00GL31951,6,2023-11-17,2024-02-27,2,Vijayanagara,CAR,WRONG PARKING,103,1.75,1821
FKN00GL32057,6,2023-11-10,2024-03-01,1,Malleshwaram,CAR,WRONG PARKING,113,1.59,1822
FKN00GL3218,6,2023-12-01,2024-02-07,1,Vijayanagara,SCOOTER,WRONG PARKING,69,2.61,1823
FKN00GL27380,6,2023-11-12,2024-03-18,1,Upparpet,MOTOR CYCLE,NO PARKING,128,1.41,1824
FKN00GL3271,6,2024-01-30,2024-04-02,1,Vijayanagara,SCOOTER,WRONG PARKING,64,2.81,1825
FKN00GL32800,6,2023-11-18,2024-02-11,3,Mahadevapura,CAR,PARKING IN A MAIN ROAD,86,2.09,1826
FKN00GL153350,6,2023-11-24,2024-01-29,1,High ground,MOTOR CYCLE,NO PARKING,67,2.69,1827
FKN00GL15336,6,2023-12-29,2024-03-10,2,HAL Old Airport,MAXI-CAB,WRONG PARKING,73,2.47,1828
FKN00GL6051,6,2023-12-02,2024-02-02,1,High ground,SCOOTER,WRONG PARKING,63,2.86,1829
FKN00GL60539,6,2024-01-15,2024-03-13,1,Kodigehalli,MOTOR CYCLE,WRONG PARKING,59,3.05,1830
FKN00GL60669,6,2024-01-28,2024-03-08,2,Hulimavu,CAR,WRONG PARKING,41,4.39,1831
FKN00GL60792,6,2024-01-19,2024-04-06,1,Upparpet,SCOOTER,NO PARKING,79,2.28,1832
FKN00GL60885,6,2023-11-17,2024-03-22,1,HAL Old Airport,SCOOTER,WRONG PARKING,127,1.42,1833
FKN00GL60966,6,2024-02-24,2024-02-24,1,Upparpet,CAR,WRONG PARKING,1,180.0,1834
FKN00GL154665,6,2023-12-16,2024-01-12,1,Halasur,CAR,NO PARKING,28,6.43,1835
FKN00GL15468,6,2023-12-06,2024-01-22,1,Malleshwaram,PASSENGER AUTO,WRONG PARKING,48,3.75,1836
FKN00GL15503,6,2023-11-25,2024-02-27,1,Rajajinagar,SCOOTER,WRONG PARKING,95,1.89,1837
FKN00GL15575,6,2023-11-20,2024-01-22,2,City Market,SCOOTER,WRONG PARKING,64,2.81,1838
FKN00GL32378,6,2024-01-14,2024-03-31,2,Halasur,CAR,NO PARKING,78,2.31,1839
FKN00GL32392,6,2024-02-11,2024-02-26,1,Halasur,MAXI-CAB,NO PARKING,16,11.25,1840
FKN00GL5975,6,2024-01-06,2024-04-01,2,Upparpet,CAR,WRONG PARKING,87,2.07,1841
FKN00GL59785,6,2024-02-26,2024-04-06,1,Pulikeshinagar(F.Town),SCOOTER,NO PARKING,41,4.39,1842
FKN00GL60363,6,2023-12-22,2024-04-07,2,Electronic City,LORRY/GOODS VEHICLE,WRONG PARKING,108,1.67,1843
FKN00GL71591,6,2024-01-06,2024-03-02,1,Shivajinagar,SCOOTER,WRONG PARKING,57,3.16,1844
FKN00GL7160,6,2024-02-02,2024-03-11,2,Sheshadripuram,SCOOTER,NO PARKING,39,4.62,1845
FKN00GL71646,6,2023-12-28,2024-03-02,1,HAL Old Airport,SCOOTER,WRONG PARKING,66,2.73,1846
FKN00GL105104,6,2023-11-21,2024-01-20,1,Ashok Nagar,SCOOTER,NO PARKING,61,2.95,1847
FKN00GL17070,6,2023-12-13,2024-01-17,1,Jayanagara,SCOOTER,NO PARKING,36,5.0,1848
FKN00GL17117,6,2023-11-17,2024-01-13,1,Shivajinagar,MOTOR CYCLE,NO PARKING,58,3.1,1849
FKN00GL17177,6,2024-01-13,2024-01-20,1,Hebbala,SCOOTER,NO PARKING,8,22.5,1850
FKN00GL17312,6,2023-11-15,2024-03-14,1,HAL Old Airport,MOTOR CYCLE,NO PARKING,121,1.49,1851
FKN00GL10541,6,2024-01-27,2024-04-05,1,HSR Layout,GOODS AUTO,WRONG PARKING,70,2.57,1852
FKN00GL105422,6,2023-12-23,2024-01-19,2,High ground,SCOOTER,WRONG PARKING,28,6.43,1853
FKN00GL105489,6,2023-11-13,2024-01-17,1,Ashok Nagar,SCOOTER,NO PARKING,66,2.73,1854
FKN00GL71913,6,2023-12-30,2024-03-10,1,City Market,SCOOTER,WRONG PARKING,72,2.5,1855
FKN00GL32677,6,2023-12-18,2024-02-11,1,Shivajinagar,SCOOTER,WRONG PARKING,56,3.21,1856
FKN00GL15168,6,2023-11-28,2024-01-23,1,Vijayanagara,SCOOTER,NO PARKING,57,3.16,1857
FKN00GL152428,6,2023-12-15,2024-03-23,1,Sadashivanagar,CAR,WRONG PARKING,100,1.8,1858
FKN00GL15266,6,2023-11-14,2024-03-05,1,Upparpet,MOTOR CYCLE,NO PARKING,113,1.59,1859
FKN00GL3326,6,2023-12-20,2024-04-07,2,Mahadevapura,MOTOR CYCLE,PARKING ON FOOTPATH,110,1.64,1860
FKN00GL33264,6,2023-11-21,2024-02-11,2,Rajajinagar,SCOOTER,WRONG PARKING,83,2.17,1861
FKN00GL15376,6,2023-12-12,2024-04-05,2,Hebbala,SCOOTER,NO PARKING,116,1.55,1862
FKN00GL154128,6,2023-12-13,2024-01-23,1,HAL Old Airport,MAXI-CAB,WRONG PARKING,42,4.29,1863
FKN00GL15425,6,2023-11-10,2024-01-22,2,City Market,PASSENGER AUTO,WRONG PARKING,74,2.43,1864
FKN00GL32903,6,2023-11-12,2024-02-11,1,Shivajinagar,PASSENGER AUTO,NO PARKING,92,1.96,1865
FKN00GL33107,6,2024-04-01,2024-04-03,1,Upparpet,SCOOTER,NO PARKING,3,60.0,1866
FKN00GL33141,6,2024-02-11,2024-02-14,1,HSR Layout,MOTOR CYCLE,WRONG PARKING,4,45.0,1867
FKN00GL113304,6,2023-12-10,2024-01-16,1,Chikkajala,CAR,NO PARKING,38,4.74,1868
FKN00GL11349,6,2024-01-18,2024-03-17,1,Shivajinagar,SCOOTER,NO PARKING,60,3.0,1869
FKN00GL113632,6,2023-11-11,2023-11-18,1,Shivajinagar,MOTOR CYCLE,WRONG PARKING,8,22.5,1870
FKN00GL113698,6,2023-11-11,2023-12-11,1,Shivajinagar,SCOOTER,WRONG PARKING,31,5.81,1871
FKN00GL5971,6,2023-12-13,2024-04-02,1,Kodigehalli,SCOOTER,WRONG PARKING,112,1.61,1872
FKN00GL5924,6,2023-11-13,2024-03-28,1,Kodigehalli,SCOOTER,WRONG PARKING,137,1.31,1873
FKN00GL5950,6,2023-12-01,2024-02-15,1,Malleshwaram,CAR,NO PARKING,77,2.34,1874
FKN00GL59682,6,2024-01-09,2024-04-01,2,Upparpet,CAR,WRONG PARKING,84,2.14,1875
FKN00GL5970,6,2024-01-24,2024-03-02,1,City Market,SCOOTER,WRONG PARKING,39,4.62,1876
FKN00GL7248,6,2024-01-23,2024-04-05,2,Upparpet,PASSENGER AUTO,WRONG PARKING,74,2.43,1877
FKN00GL7255,6,2023-12-06,2024-03-24,2,Sheshadripuram,PASSENGER AUTO,WRONG PARKING,110,1.64,1878
FKN00GL72646,6,2024-01-09,2024-04-08,1,City Market,PASSENGER AUTO,WRONG PARKING,91,1.98,1879
FKN00GL72654,6,2023-11-14,2024-03-19,1,HSR Layout,MAXI-CAB,NO PARKING,127,1.42,1880
FKN00GL105055,6,2023-11-29,2023-12-28,2,Malleshwaram,MOTOR CYCLE,WRONG PARKING,30,6.0,1881
FKN00GL2642,6,2023-11-21,2023-12-25,1,Mico Layout,CAR,NO PARKING,35,5.14,1882
FKN00GL26472,6,2024-03-13,2024-03-13,1,Hulimavu,SCOOTER,WRONG PARKING,1,180.0,1883
FKN00GL2650,6,2024-01-09,2024-03-15,1,HAL Old Airport,MOTOR CYCLE,PARKING IN A MAIN ROAD,67,2.69,1884
FKN00GL26691,6,2024-01-17,2024-02-18,1,Basavanagudi,SCOOTER,NO PARKING,33,5.45,1885
FKN00GL73671,6,2024-01-06,2024-03-14,1,Rajajinagar,CAR,WRONG PARKING,69,2.61,1886
FKN00GL33161,6,2023-11-17,2024-02-11,1,Shivajinagar,CAR,NO PARKING,87,2.07,1887
FKN00GL15155,6,2023-12-13,2024-04-02,1,Shivajinagar,SCOOTER,WRONG PARKING,112,1.61,1888
FKN00GL34255,6,2023-11-14,2024-03-25,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,133,1.35,1889
FKN00GL3433,6,2023-11-30,2024-02-11,2,Rajajinagar,CAR,WRONG PARKING,74,2.43,1890
FKN00GL34394,6,2023-12-18,2024-02-12,3,Shivajinagar,PASSENGER AUTO,NO PARKING,57,3.16,1891
FKN00GL34478,6,2024-01-24,2024-02-18,2,Hebbala,PASSENGER AUTO,NO PARKING,26,6.92,1892
FKN00GL114066,6,2023-12-01,2023-12-19,1,High ground,SCOOTER,WRONG PARKING,19,9.47,1893
FKN00GL114212,6,2023-11-19,2024-01-18,3,Upparpet,CAR,WRONG PARKING,61,2.95,1894
FKN00GL114539,6,2023-12-13,2024-01-06,1,HAL Old Airport,CAR,WRONG PARKING,25,7.2,1895
FKN00GL58319,6,2023-11-22,2024-03-01,1,Rajajinagar,SCOOTER,WRONG PARKING,101,1.78,1896
FKN00GL58402,6,2023-11-16,2024-01-14,1,Ashok Nagar,MOTOR CYCLE,NO PARKING,60,3.0,1897
FKN00GL3340,6,2023-12-16,2024-04-03,1,HAL Old Airport,TEMPO,PARKING IN A MAIN ROAD,110,1.64,1898
FKN00GL33445,6,2024-01-27,2024-02-14,1,HSR Layout,SCOOTER,WRONG PARKING,19,9.47,1899
FKN00GL33471,6,2024-02-11,2024-04-07,1,Upparpet,LGV,WRONG PARKING,57,3.16,1900
FKN00GL33806,6,2023-12-10,2024-03-30,1,Magadi Road,SCOOTER,NO PARKING,112,1.61,1901
FKN00GL34214,6,2023-12-12,2024-03-04,1,Shivajinagar,SCOOTER,WRONG PARKING,84,2.14,1902
FKN00GL58575,6,2024-01-03,2024-03-18,2,Upparpet,CAR,WRONG PARKING,76,2.37,1903
FKN00GL58638,6,2023-12-26,2024-03-31,4,Halasuru Gate,CAR,NO PARKING,97,1.86,1904
FKN00GL115183,6,2023-11-10,2024-01-14,1,Shivajinagar,PASSENGER AUTO,WRONG PARKING,66,2.73,1905
FKN00GL5777,6,2023-11-28,2024-01-06,1,Mico Layout,SCOOTER,NO PARKING,40,4.5,1906
FKN00GL150642,6,2023-12-15,2024-01-16,1,Jeevanbheemanagar,SCOOTER,NO PARKING,33,5.45,1907
FKN00GL73847,6,2023-12-15,2024-03-20,1,City Market,SCOOTER,NO PARKING,97,1.86,1908
